gene	log2FC_per_decade	P	FDR	log2FC_adj	P_adj	FDR_adj
PUF60	-0.0393590235981919	0.017113309039781	0.0244278685487197	0.00673212504530155	0.618862659381695	0.776870146883404
RAE1	-0.0366972794166518	0.000193398218682881	0.000580194656048643	-0.00727382829167101	0.325095063403578	0.564135551200327
RANBP2	-0.0185971413587606	0.0470768124201523	0.0599467323623522	-0.0138098051051515	0.168010339955085	0.416706229855396
RBM10	-0.0680190557283636	1.11705186763318e-05	7.60454540657974e-05	-0.0287781594372111	0.0259801578215182	0.121012840379177
RBM17	-0.0222810029717149	0.00397355034878068	0.00663507935598283	-0.01121674516839	0.150033700902578	0.37937092942509
RBM22	-0.0194990820319113	0.0023567212502609	0.00413009565639782	-0.00843714652249123	0.178022800400855	0.431644324259607
RBM25	-0.00239386517903616	0.740747849381144	0.766739001991009	0.000937258086129144	0.904275065377576	0.946081099063702
RBM39	0.0101734329934635	0.334133037010591	0.371959418558959	-0.0201864669074436	0.0206310310219258	0.112963496273707
RBM42	-0.0329450218520806	0.11338363885833	0.134690631395466	0.0213678419545071	0.236383388643067	0.496550903378808
RBMX	-0.0974555701897767	5.34111974869982e-08	3.1512606517329e-06	-0.0401307076592379	0.000571306974993288	0.016853555762302
RNPS1	-0.0411456562328487	0.00512455010274048	0.00832151713931253	0.00633779104337875	0.543218648601699	0.73961308309616
SARNP	-0.00411008470563795	0.613819960163986	0.63909489970015	0.0038836561588325	0.651474235466945	0.795247859845857
SART1	-0.063151058926891	0.000515327675638643	0.00122243220462867	-0.0108703047454465	0.444164581196289	0.671941289502079
SEC13	-0.0134942934079963	0.191500764218981	0.222997600439208	-0.00271771122556856	0.801630930306871	0.870482666652246
SF1	-0.0181312266321236	0.0632213021254573	0.0777095171958746	0.0065726144759878	0.443079614972296	0.671941289502079
SF3A1	-0.0379289906943009	0.000343452061913687	0.000907328581473471	-0.00616966122659402	0.438404148067077	0.671941289502079
SF3A2	-0.0910469692210117	0.00105171660884405	0.0021153845427886	-0.0137578092005344	0.538544899610441	0.73961308309616
SF3A3	-0.0460202440410653	1.12179962926761e-06	1.62025872247919e-05	-0.0208091900240892	0.00597288073322907	0.0556420994621866
SF3B2	-0.0345928814501854	5.59449487406666e-05	0.000241518437246293	-0.00784434796799033	0.199571983674742	0.452874886031145
SF3B3	-0.0468028404024194	0.000192015576895358	0.000580194656048643	-0.00618652736990852	0.471558146906965	0.694779982503924
SF3B4	-0.0609600981763948	6.22068459960713e-05	0.000257883210712123	-0.0107436940838889	0.283962555737007	0.553052570958247
SF3B5	-0.0265638600827117	0.0343292782612597	0.0446785459723748	-0.0129838889126941	0.31956226196483	0.560024954136385
SF3B6	-0.0324652506758116	0.000350154644631827	0.000911431942644607	-0.0354506152783542	0.000298682479151051	0.0115163035866106
SLBP	-0.0259732910723263	0.0742735469576484	0.0900439576130395	0.0221620004136272	0.0325942379288963	0.145264820507233
SNRNP200	-0.035986061849282	3.10610268504513e-05	0.000161196602813339	-0.0134679108259412	0.0592479621259647	0.214018148903995
SNRNP35	-0.00396694349940539	0.568957707216373	0.595890616433716	-0.00931913069860845	0.211158773251346	0.467188785818604
SNRNP40	-0.0513135389505676	5.48267378230769e-05	0.000241518437246293	-0.0122809338494586	0.181755489517869	0.434739481684633
SNRNP48	0.0110933779449556	0.371392643540269	0.403291398200169	0.0233347116226239	0.0760785345439425	0.249368529894034
SNRPA	-0.0960306902996406	2.42686840589448e-06	2.26081951496485e-05	-0.0310306539663289	0.0233403305981618	0.114756625440962
SNRPA1	-0.0121340667464303	0.357007139688482	0.391209407697477	0.0094429447323445	0.474962586909462	0.694779982503924
SNRPB	-0.0848377755537304	7.87505529699226e-05	0.00029039266407659	-0.00699889601566329	0.551823278138849	0.745593284202873
SNRPB2	-0.0328877356703595	0.0012434813236541	0.00241863949765687	-0.0266218170376749	0.0136388935769903	0.0898969692199177
SNRPC	-0.0546917415505759	2.42880493258972e-05	0.000138676926796252	-0.0141248671963092	0.120323242642558	0.327649445349735
SNRPD1	-0.0534673181310265	0.00075391912201961	0.00166804605746839	0.000321612447703634	0.975051024563122	0.986194464843843
SNRPD2	-0.0344094856717136	0.000480764192417155	0.00116615743952066	-0.0193897093412012	0.0472850496811428	0.181944647686136
SNRPE	-0.0305051685885499	0.181812282805698	0.213117708984162	-0.00271110551811124	0.908665462377567	0.946081099063702
SNRPF	-0.0816014248840035	3.650269472361e-07	1.16397442325119e-05	-0.0343215959491013	0.00338014212743474	0.0373928222847469
SNU13	-0.00805518374279204	0.358056068062097	0.391209407697477	0.0047727920289795	0.593385251474827	0.771233204176468
SNW1	-0.0356734824973778	9.4671704186476e-07	1.52335378554602e-05	-0.0261928654512766	0.000325319310356232	0.0115163035866106
SRRM1	-0.0138942318494731	0.129301207661454	0.152575425040516	0.00497831664702833	0.568018055412406	0.76080061020177
SRRT	-0.0738009810775679	3.20680973523826e-05	0.000161196602813339	-0.0127106710469118	0.238456648515247	0.496550903378808
SRSF1	-0.0502836091573875	6.8535576598192e-05	0.000264309525449982	-0.0116025461434293	0.205594537590471	0.460635862702701
SRSF10	-0.00110424648317063	0.913744199180477	0.924186990028254	0.000543546380478716	0.960669114180731	0.981101334295108
SRSF2	-0.0309212140306	0.0179469785240385	0.0252112317361493	0.0118777454498429	0.198875659283783	0.452874886031145
SRSF3	-0.0317156323836314	0.0254305363816176	0.0346246533811255	7.01158080890039e-05	0.995703088091784	0.995703088091784
SRSF4	-0.0165785275066482	0.014024806603943	0.0205663008743568	-0.00174427205740896	0.779525970020753	0.863784343357269
SRSF7	-0.0525415673139862	2.91911651760366e-05	0.000161196602813339	-0.0160035222179107	0.0939012693868877	0.285650358709778
