tissue	programme	n_genes	n	rho_prolif	p_prolif	rho_prolif_raw	beta_age	p_age	beta_age_adj	p_age_adj	attenuation	FDR_prolif	FDR_age
muscle	DNA double-strand repair	169	839	-0.0478284589442321	0.167089144212993	-0.101057080519362	-0.000164406800841678	0.982262877371295	-0.00129182197197431	0.862104142016338	-6.85747283786831	0.181618635014123	0.993229832515233
muscle	base excision repair	42	839	0.295232256997457	2.81801427694292e-18	0.282740745135601	0.0200373788483374	0.0115688149730111	0.0123060986075937	0.105566566805189	0.385842893886551	1.00643367033676e-17	0.0289220374325276
muscle	telomere maintenance	62	839	0.0900062662879802	0.00921955638312789	0.041344760842771	0.00132156757776473	0.860219824092322	-0.00228579888962154	0.759647510700942	2.72961180955097	0.0109756623608665	0.993229832515233
muscle	chromatin organisation	298	839	-0.306069846760406	1.37144808544195e-19	-0.324195552073381	-5.25362806696977e-05	0.993229832515233	0.00537726679819358	0.370034633286426	103.353397112391	5.71436702267479e-19	0.993229832515233
muscle	mitochondrial translation	132	839	-0.154091252107557	7.62570322931502e-06	-0.157828450816751	-0.0532812521193014	0.000617926087226237	-0.0460269091493273	0.00296222968960214	0.136151886103032	1.46648139025289e-05	0.00386203804516398
muscle	respiratory electron transport	155	839	-0.118909397684562	0.000570653265577605	-0.108911437682335	-0.0486455997559538	0.00290964254696571	-0.0416368100892448	0.0105985261563544	0.144078595019298	0.000839195978790596	0.00909263295926785
muscle	TCA cycle	33	839	-0.102836998895069	0.00291234884937502	-0.0960120684967858	-0.0358242271822542	0.0338268872149369	-0.0291115894518939	0.0841889717288714	0.187377042251603	0.00364043606171878	0.0768792891248567
muscle	interferon signalling	310	839	0.011745652915104	0.734524283914664	0.00323457495508551	0.000247679885463101	0.963003096649601	0.000398354300109518	0.940930618449114	-0.608343363711965	0.734524283914664	0.993229832515233
muscle	NF-kB / TNF	33	839	-0.35641443164321	1.91526716376892e-26	-0.363196956908501	-0.0237073381156615	0.000255556519893731	-0.0166962914954873	0.00648024195438244	0.295733185479079	2.39408395471115e-25	0.00220982558303704
muscle	extracellular matrix	295	839	0.221474288510139	9.50488850339261e-11	0.241359004253517	0.0293318191428924	0.00185895769580975	0.0236333470771798	0.0111383381778479	0.194276121707691	2.64024680649795e-10	0.00747301181830765
muscle	collagen formation	85	839	0.240151301189416	1.97143247316733e-12	0.26158824392359	0.0332905843772775	0.00209244330912614	0.0258016619231024	0.0151685204025822	0.22495617287171	6.16072647864792e-12	0.00747301181830765
muscle	insulin / IGF signalling	71	839	-0.0733064665897536	0.0340702670914962	-0.0955491474881816	-6.5714128404365e-05	0.986282996502571	-0.000111754197418643	0.976832923473454	-0.700611423025733	0.038716212603973	0.993229832515233
muscle	mTOR signalling	23	839	-0.309413756655899	5.25838535043868e-20	-0.314897591705418	-0.0372015287928372	0.000265179069964445	-0.0292476869211126	0.00327687537992382	0.213804166920582	2.62919267521934e-19	0.00220982558303704
muscle	cellular senescence	124	839	-0.21306065904932	4.88569630327146e-10	-0.245615325503589	-0.000352105721829088	0.931470268554638	0.00177000390290165	0.663542717711969	6.0269103657475	1.14508848670191e-09	0.993229832515233
muscle	interleukin signalling	403	839	-0.130600779344169	0.000152644698307008	-0.14884555225625	-0.00160262242776461	0.753037174796344	-0.00057915636776708	0.909906396846362	0.638619578926706	0.000238507341104699	0.990838387889926
muscle	cell cycle (positive control)	461	839	0.0305453499226061	0.377743078229624	-0.0568869633982949	-0.00259993976261542	0.594907918085309	-0.0049403072964283	0.310285799094775	-0.900162214319371	0.393482373155859	0.826260997340706
