gene	rho	mean_logcpm	in_set	named	log2FC_per_division_per_day	P	FDR
ADA2	0.310938402505697	2.34487072453156	FALSE	FALSE			
ADAM10	-0.0712962004163943	7.95296934235026	FALSE	FALSE			
ADAM11	0.449825248100251	-0.584103583554985	FALSE	FALSE			
ADAM12	0.289388367708343	7.18906708833598	FALSE	FALSE			
ADAM15	0.0491588702096197	5.14863467528079	FALSE	FALSE			
ADAM17	-0.207789672748739	5.61743061984903	FALSE	FALSE			
ADAM19	0.613797837413465	4.6280671140981	FALSE	FALSE			
ADAM20	-0.41333728491015	0.21484477730083	FALSE	FALSE			
ADAM20P1	-0.532013976066814	0.677908307243515	FALSE	FALSE			
ADAM21	-0.596510200219868	-0.208943109193533	FALSE	FALSE			
ADAM21P1	-0.283305367170335	-2.45490782982726	FALSE	FALSE			
ADAM22	-0.0307223172425831	-0.366935960776892	FALSE	FALSE			
ADAM23	0.296037524334117	1.60006352897007	FALSE	FALSE			
ADAM28	-0.101909356207661	2.01600840727652	FALSE	FALSE			
ADAM29	-0.235703556554115	-3.04890348149628	FALSE	FALSE			
ADAM32	-0.166875722748395	1.26250814060067	FALSE	FALSE			
ADAM33	0.430529703392318	7.6407953607525	FALSE	FALSE			
ADAM3A	0.258272763180876	-0.535447666088314	FALSE	FALSE			
ADAM7-AS1	-0.0686582843204848	-1.6808915262373	FALSE	FALSE			
ADAM8	0.0217335008502675	-0.560538340290407	FALSE	FALSE			
ADAM9	0.198979391440353	8.09357307774419	FALSE	FALSE			
ADAMDEC1	-0.234109334724803	-1.2553871153827	FALSE	FALSE			
ADAMTS1	-0.155734963477783	7.916946454748	FALSE	FALSE			
ADAMTS10	-0.0337065325983251	0.839981879886048	FALSE	FALSE			
ADAMTS12	0.00637353246286879	6.30926448557006	FALSE	FALSE			
ADAMTS13	-0.199472299552709	1.07916728442579	FALSE	FALSE			
ADAMTS14	-0.0635719225185391	3.11564896089332	FALSE	FALSE			
ADAMTS15	-0.0187753612459104	-1.19839565966854	FALSE	FALSE			
ADAMTS16	-0.207011697759953	-2.54184084663781	FALSE	FALSE			
ADAMTS17	-0.0714645334955278	-1.03830538186916	FALSE	FALSE			
ADAMTS18	-0.0726909906853582	-0.401008137430538	FALSE	FALSE			
ADAMTS2	-0.42279743392404	7.75606023722774	FALSE	FALSE			
ADAMTS3	-0.0735409877905396	0.142154254896984	FALSE	FALSE			
ADAMTS4	0.276741282429606	4.57624020269463	FALSE	FALSE			
ADAMTS5	-0.129929672480031	7.85116174088362	FALSE	FALSE			
ADAMTS6	0.359206807730041	5.51660171917757	FALSE	FALSE			
ADAMTS7	-0.20473281204504	5.61608473310096	FALSE	FALSE			
ADAMTS7P1	-0.200975073611858	-0.633685766737674	FALSE	FALSE			
ADAMTS8	0.0147225204850374	-2.45645527083411	FALSE	FALSE			
ADAMTS9	-0.246989515909946	3.09256736762686	FALSE	FALSE			
ADAMTS9-AS1	-0.203388078438087	-1.29531174418799	FALSE	FALSE			
ADAMTS9-AS2	-0.204220841437696	0.625702753658177	FALSE	FALSE			
ADAMTSL1	0.500834779042784	7.05058220132164	FALSE	FALSE			
ADAMTSL2	-0.105679677113424	-0.564985998017623	FALSE	FALSE			
ADAMTSL3	-0.0778585217679992	-2.91483023670822	FALSE	FALSE			
