sample	line	cond	oxy	days	rate	prolif	splice	splice96
Sample_209	HC1	Control	3	41.33333333	0.362676846757523	-0.556168354794054	-0.349025669025475	-0.335647053426186
Sample_25	HC1	Control	21	83.08333333	0.398835914956111	-0.875848609351281	-0.102403330105816	-0.0533467382294965
Sample_1	SURF1_1	Control	21	22.41666667	0.403033832674916	-0.821246729577518	-0.262318374221931	-0.353513684223871
Sample_16	SURF1_3	Control	21	38.04166667	0.405915582187615	-0.923565465317225	-0.244168126655816	-0.165087163351493
Sample_45	HC3	Control	21	55.04166667	0.408169571734256	-0.387899954236721	-0.139878795541068	-0.0851677282504692
Sample_2	SURF1_1	Control	21	39.125	0.429657940128135	-1.103753767367	-0.0361397302064147	-0.0185556570932039
Sample_206	HC4	Control	3	69.375	0.465595235625412	0.829242705159505	-0.147802835538492	-0.272629742816381
Sample_322	HC2	Control	21	100.7048611	0.474406470657568	-0.647872320547135	-0.510336005601803	-0.954432592231736
Sample_36	HC2	Control	21	83.16666667	0.483629281711367	0.854748139048239	0.372358900070711	0.488031759400761
Sample_186	HC1	Control	21	48.16666667	0.491188495592303	-0.704246932125012	0.127357873790688	0.156411602792687
Sample_37	HC2	Control	21	98.125	0.52277369241234	0.169868017021272	0.133592034306453	0.250965030533906
Sample_24	HC1	Control	21	68.08333333	0.52747739046628	-0.265971755073451	0.144882212111236	0.233999202481308
Sample_9	SURF1_2	Control	21	38.25	0.529933958199308	-0.752243994035552	-0.418704555437065	-0.310605976342159
Sample_44	HC3	Control	21	39.125	0.532853674914433	-0.0731488489929947	0.205973759750939	0.285158318404331
Sample_184	HC1	Control	21	20.375	0.55650668073714	-0.352349181789884	0.0695523201445406	0.0822897870077745
Sample_316	HC2	Control	21	51.76388889	0.561594422237459	-1.2515555850269	-0.467404719220545	-0.45454271727033
Sample_208	HC1	Control	3	27.66666667	0.569218948716966	-0.827571044167518	-0.328706323027402	-0.297826752448877
Sample_23	HC1	Control	21	52.95833333	0.572428439407186	-0.119495970009607	0.0245984758132804	0.104234867407858
Sample_185	HC1	Control	21	34.29166667	0.579795711150578	0.302814941516869	0.357910793109396	0.399443563671687
Sample_321	HC2	Control	21	93.78472222	0.590524596742846	-0.00827431734975944	-0.09044618621678	-0.394849773326418
Sample_183	HC4	Control	21	55.125	0.606790152619237	1.25250688291255	0.568534960051493	0.565796022254962
Sample_8	SURF1_2	Control	21	21.125	0.607709956510749	0.595427530705477	0.575057531392606	0.637142418076879
Sample_214	HC2	Control	3	42.20833333	0.614834441189807	0.0186134735518741	-0.158508887508607	-0.186894423749784
Sample_178	HC4	Control	21	20.375	0.623621282478165	0.576585880765071	0.263926315690439	0.220883819544027
Sample_205	HC4	Control	3	55.25	0.625273822224439	1.06225258499465	0.0586486277706115	-0.0138533611926077
Sample_261	HC1	Control	21	29.92916667	0.627293476594084	1.55158336360238	1.07281389312089	1.08060586144218
Sample_320	HC2	Control	21	83.89583333	0.627682326046543	0.429835249152787	0.413343935908654	0.5009509782952
Sample_15	SURF1_3	Control	21	22.08333333	0.628089238765162	1.24766221981144	1.04316536134208	1.07361837957926
Sample_182	HC4	Control	21	48.16666667	0.629524673673079	1.05663947596355	0.556707967872075	0.547410769697997
Sample_213	HC2	Control	3	28.54166667	0.642516211191998	-0.269877239069833	-0.336089644372429	-0.272757454988796
Sample_22	HC1	Control	21	37.33333333	0.648005098322672	0.976188042982624	0.611313844282465	0.710391198211207
Sample_207	HC1	Control	3	13.25	0.649273785066577	1.13047475925628	0.81404573819526	0.861596822478996
Sample_180	HC4	Control	21	34.29166667	0.65162794055301	0.726407739609635	0.258685378084485	0.207369813240672
Sample_317	HC2	Control	21	58.72916667	0.655607220093703	0.702673030327624	0.510022055925143	0.519017344752091
Sample_43	HC3	Control	21	22.41666667	0.656146418880904	1.36982320498292	1.04492291535915	1.10052458286118
Sample_203	HC4	Control	3	27.66666667	0.661364669067657	1.01735818914941	-0.221205289846942	-0.193766869510083
Sample_204	HC4	Control	3	41.33333333	0.663406949909034	1.0713062257293	0.136833343825667	0.107210824384644
Sample_215	HC2	Control	3	56.125	0.664421383425305	0.319134612457916	-0.0788816801498753	-0.0287635293101277
Sample_216	HC2	Control	3	70.25	0.668474216491565	0.428738623611493	-0.0361921768094014	0.0110083674021796
Sample_260	HC1	Control	21	22.87013889	0.677304394625587	0.695050003032287	0.4079601893736	0.410229430176454
Sample_181	HC4	Control	21	41.16666667	0.682698743725307	1.03016287277979	0.576472177785543	0.603391820901278
Sample_192	HC2	Control	21	63.20833333	0.684287371367418	0.13691073784253	0.321451629527717	0.363196478721264
Sample_319	HC2	Control	21	72.66319444	0.689719017404171	-0.844183528832209	-0.203643942152085	-0.121530393501597
Sample_259	HC1	Control	21	15.88055556	0.689965952112168	0.388281187539954	0.636172448759622	0.696484543087168
Sample_318	HC2	Control	21	65.69791667	0.694976800091893	0.775751109581671	0.461170407205698	0.531973927799404
Sample_191	HC2	Control	21	49.04166667	0.697605652330265	-0.0737675868008723	0.30796279319124	0.366011909590953
Sample_190	HC2	Control	21	35.16666667	0.699660710616348	0.0570445612161097	0.231699926131718	0.239231999463352
Sample_212	HC2	Control	3	14.125	0.6999825249071	1.13879545613138	0.653565357501447	0.674794508433896
Sample_179	HC4	Control	21	27.25	0.70106196407707	0.793487110322945	0.572951158508309	0.638892725591148
Sample_21	HC1	Control	21	21.20833333	0.70878102384156	1.34555298026125	1.00367920930915	1.02648596117123
Sample_193	HC2	Control	21	70.125	0.716256561577118	0.691573640526121	0.365368211063147	0.446167725226832
Sample_315	HC2	Control	21	44.69791667	0.720967424948201	1.6204907500902	1.03064074222302	1.01470345964405
Sample_35	HC2	Control	21	68.29166667	0.731660728576279	1.04677989214017	0.419906952008306	0.469124947676927
Sample_189	HC2	Control	21	21.25	0.739492418424694	0.138175700929555	0.126444633018323	0.128467199396912
Sample_313	HC2	Control	21	30.72916667	0.750462590300091	0.518812491193678	0.638424981025357	0.735176593513991
Sample_34	HC2	Control	21	53.04166667	0.752319058291941	1.02172512128348	0.506438718322916	0.536602129304785
Sample_314	HC2	Control	21	37.66319444	0.76313561582931	0.438388011027475	0.506396871969177	0.571533542359058
Sample_312	HC2	Control	21	23.67013889	0.764045954607237	0.405035080859013	0.396334272050676	0.351314586351114
Sample_202	HC4	Control	3	13.25	0.767379158828657	1.66416669705186	1.11132799567304	1.21564148106977
Sample_311	HC2	Control	21	16.68055556	0.780269738136589	0.310202033118088	0.703423134592055	0.712687352088141
Sample_33	HC2	Control	21	38.04166667	0.788748398404475	1.60661286051017	0.974794970234357	0.996864005213285
Sample_32	HC2	Control	21	22.08333333	0.795483631869098	1.70758182711985	1.21386205987812	1.18269456583906
Sample_310	HC2	Control	21	11.64583333	0.818295113464979	1.52661036639694	0.954477219727081	0.889450511976043
Sample_258	HC1	Control	21	10.84583333	0.829746489650127	1.02116642250545	0.702416469654762	0.798618598661645
Sample_75	HC1	DEX	21	83.08333333	0.0412721062693851	0.500768363253463	0.266799590995277	0.146244471698377
Sample_100	HC3	DEX	21	140.375	0.0524444373900849	-1.03468391894432	-0.455343168882231	-0.480233668021206
